Precinct,Code,Location,Address,City,State,Zip
ACWORTH 1A,AC1A,NORTHSTAR CHURCH,3413 BLUE SPRINGS RD,KENNESAW,GA,30144
ACWORTH 1B,AC1B,ACWORTH COMMUNITY CENTER,4361 CHEROKEE ST,ACWORTH,GA,30101
ACWORTH 1C,AC1C (NEW),NORTH COBB SENIOR CENTER,3900 SOUTH MAIN ST,ACWORTH,GA,30101
ADDISON 01,AD01 (NEW),LEGACY CHURCH,1040 BLACKWELL RD,MARIETTA,GA,30066
AUSTELL 1A,AU1A (NEW),AUSTELL COMMUNITY CENTER,2625 JOE JERKINS BLVD,AUSTELL,GA,30106
BAKER 01,BK01,SUMMIT BAPTIST CHURCH,4310 MOON STATION LN,ACWORTH,GA,30101
BELLS FERRY 02,BF02 (NEW),CHRIST WORSHIP CENTER,3393 CANTON RD,MARIETTA,GA,30066
BELLS FERRY 03,BF03,NOONDAY BAPTIST CHURCH,4120 CANTON RD,MARIETTA,GA,30066
BELLS FERRY 04,BF04 (NEW),SHILOH HILLS BAPTIST CHURCH,75 HAWKINS STORE RD NW,KENNESAW,GA,30144
BIG SHANTY 01,BG01,FIRST UNITED LUTHERAN CHURCH,3481 CAMPUS LOOP RD,KENNESAW,GA,30144
BIG SHANTY 02,BG02,TOWNE VIEW BAPTIST CHURCH,950 SHILOH RD NW,KENNESAW,GA,30144
BIRNEY 01,BR01,BIRNEY ELEMENTARY SCHOOL,775 SMYRNA-POWDER SPRINGS ST,MARIETTA,GA,30060
BIRNEY 02,BR02 (NEW),C. FREEMAN POOLE SENIOR CENTER,4025 SOUTH HURT RD,SMYRNA,GA,30082
BLACKWELL 01,BW01 (NEW),NORTHEAST COBB COMMUNITY CENTER,3100 JAYCEE DR,MARIETTA,GA,30062
BRYANT 01,BT01 (NEW),TRINITY UNITED METHODIST CHURCH,821 SOUTH GORDON ROAD SW,AUSTELL,GA,30168
BRYANT 02,BT02 (NEW),RIVERSIDE EPICENTER,135 RIVERSIDE PARKWAY,AUSTELL,GA,30168
CHALKER 01,CK01 (NEW),GRACE CHURCH AT TOWN CENTER,3005 RING RD NW,KENNESAW,GA,30144
CHATTAHOOCHEE 01,CA01,THE PACES FOUNDATION,2730 CUMBERLAND BLVD SE,SMYRNA,GA,30080
CHEATHAM HILL 02,CH02,MERCY HILL CHURCH,287 MT. CALVARY RD,MARIETTA,GA,30064
CHEATHAM HILL 03,CH03,CHEATHAM HILL ELEMENTARY SCHOOL,1350 JOHN WARD RD,MARIETTA,GA,30064
CHESTNUT RIDGE 01,CR01,CHESTNUT RIDGE CHRISTIAN CHURCH,2663 JOHNSON FERRY RD,MARIETTA,GA,30062
CLARKDALE 01,CL01,LUKE GARRETT MIDDLE SCHOOL,5235 AUSTELL-POWDER SPRINGS RD,AUSTELL,GA,30106
CLARKDALE 02,CL02,FAITH BAPTIST TEMPLE,5083 HIRAM-LITHIA SPRINGS RD,POWDER SPRINGS,GA,30127
COOPER 01,CO01,COOPER MIDDLE SCHOOL,4605 EWING RD,AUSTELL,GA,30106
DAVIS 01,DV01 (NEW),MOUNTAIN VIEW UNITED METHODIST CHURCH,2300 JAMERSON RD,MARIETTA,GA,30066
