census_block_group,B01001e1,state_fips,county_fips,census_tract_fips
130670301011,1639,13,13067,13067030101
130670301012,1539,13,13067,13067030101
130670301013,2651,13,13067,13067030101
130670301014,2026,13,13067,13067030101
130670301031,2452,13,13067,13067030103
130670301032,2962,13,13067,13067030103
130670301033,3836,13,13067,13067030103
130670301041,823,13,13067,13067030104
130670301042,2746,13,13067,13067030104
130670301061,2010,13,13067,13067030106
130670301062,2006,13,13067,13067030106
130670301063,3520,13,13067,13067030106
130670301071,1977,13,13067,13067030107
130670301072,2845,13,13067,13067030107
130670302091,2120,13,13067,13067030209
130670302092,1631,13,13067,13067030209
130670302093,3371,13,13067,13067030209
130670302141,2634,13,13067,13067030214
130670302142,2404,13,13067,13067030214
130670302143,2579,13,13067,13067030214
130670302151,3301,13,13067,13067030215
130670302152,2196,13,13067,13067030215
130670302153,1317,13,13067,13067030215
130670302154,2897,13,13067,13067030215
130670302181,2630,13,13067,13067030218
130670302182,2860,13,13067,13067030218
130670302191,2360,13,13067,13067030219
130670302192,2415,13,13067,13067030219
130670302193,2242,13,13067,13067030219
130670302194,2531,13,13067,13067030219
130670302201,1757,13,13067,13067030220
130670302221,2246,13,13067,13067030222
130670302222,2449,13,13067,13067030222
130670302223,983,13,13067,13067030222
130670302231,2882,13,13067,13067030223
130670302232,2276,13,13067,13067030223
130670302233,676,13,13067,13067030223
130670302241,4732,13,13067,13067030224
130670302242,1622,13,13067,13067030224
130670302261,4547,13,13067,13067030226
130670302262,2079,13,13067,13067030226
130670302263,3376,13,13067,13067030226
130670302271,1678,13,13067,13067030227
130670302272,3534,13,13067,13067030227
130670302273,2586,13,13067,13067030227
130670302281,2404,13,13067,13067030228
130670302282,1441,13,13067,13067030228
130670302283,2131,13,13067,13067030228
130670302284,1315,13,13067,13067030228
130670302291,359,13,13067,13067030229
130670302292,5620,13,13067,13067030229
130670302301,7894,13,13067,13067030230
130670302302,6392,13,13067,13067030230
130670302311,649,13,13067,13067030231
130670302312,1879,13,13067,13067030231
130670302313,2247,13,13067,13067030231
130670302314,2526,13,13067,13067030231
130670302321,2860,13,13067,13067030232
130670302322,3123,13,13067,13067030232
130670302331,1490,13,13067,13067030233
130670302332,2746,13,13067,13067030233
130670302341,3271,13,13067,13067030234
130670302342,3176,13,13067,13067030234
130670302351,1930,13,13067,13067030235
130670302352,2918,13,13067,13067030235
130670302361,2162,13,13067,13067030236
130670302362,2414,13,13067,13067030236
